x,y,z
0.0011732385740658596,0.0011781098653141622,-2.2078161805966223e-05
0.005875915135911714,9.744080054653113e-05,0.12512979162669718
0.007048010755676774,0.0001155891799314039,-0.0002206371762179804
0.005866469950255589,0.00013143444179353648,-0.1255709576840931
0.0023321561881622377,0.00014044654604897583,-0.2508769919248334
-0.0035532429899319262,0.00013811449256521819,-0.37609459779840504
-0.01178721698306922,0.00011994785830354114,-0.5011796840280169
-0.02236643340991845,8.147832020458567e-05,-0.6260882250914894
-0.03528673965643564,1.826116337679608e-05,-0.7507762761281702
-0.050543164690903315,-7.412322584464197e-05,-0.8751999878167549
-0.06812992114589436,-0.00020006788239200078,-0.9993156212193709
-0.08804040766663307,-0.00036393780092907127,-1.1230795625872863
-0.1102672115251406,-0.0005700684906923097,-1.2464483381235993
-0.13480211149947746,-0.0008227645471077785,-1.3693786286982863
-0.16163608101730984,-0.001126298240575892,-1.4918272845109615
-0.19075929156295557,-0.0014849081228059126,-1.6137513396967478
-0.2221611163469725,-0.0019027976510724203,-1.735108026870621
-0.2558301342372915,-0.002384133830764229,-1.855854791605644
-0.29175413395079,-0.0029330458765744437,-1.9759493068404825
-0.32992011850414793,-0.0035536238926894047,-2.0953494872116223
-0.37031430992272657,-0.004249917572307107,-2.2140135033057255
-0.412922154206148,-0.005025934916820548,-2.331899795827568
-0.45772832654915924,-0.005885640974989486,-2.448967089679016
-0.5047167368162905,-0.006832956602411204,-2.5651744079445358
-0.5538705352687412,-0.007871757241589611,-2.680481085778725
-0.6051721185418378,-0.00900587172291372,-2.7948467841913813
-0.6586031358713389,-0.01023908108681371,-2.908231503725681
-0.714144495566773,-0.011575117427385047,-3.02059559802499
-0.7717763717299259,-0.013017662757748908,-3.131899787283933
-0.8314782112165003,-0.014570347897399243,-3.242105171579329
-0.8932287408389205,-0.01623675138180422,-3.3511732440766404
-0.9570059748081258,-0.018020398394481132,-3.459065904107596
-1.022787222412187,-0.019924759721814393,-3.5657454701147286
-1.0905490959294337,-0.021953250730790786,-3.671174692458523
-1.1602675187737532,-0.02410923036992288,-3.7753167660829927
-1.231917733869614,-0.02639600019352986,-3.8781353430354546
-1.3054743122543149,-0.02881680340957602,-3.9795945448363734
-1.3809111619048597,-0.03137482395128239,-4.079658974695136
-1.4582015367867975,-0.034073185572670306,-4.178293729567709
-1.5373180461223013,-0.0369149509681977,-4.275464412052116
-1.6182326638746425,-0.039903120916686755,-4.371137142117742
-1.7009167384462265,-0.043040633449665196,-4.465278568664552
-1.785341002587157,-0.0463303630442836,-4.557855880908271
-1.8714755835113712,-0.04977511984092868,-4.6488368195876895
-1.9592900132171922,-0.053377648885695426,-4.738189687990303
-2.048753239009119,-0.05714062939777261,-4.825883362792508
-2.1398336342176645,-0.061066674061942466,-4.911887304710632
-2.2324990091138406,-0.06515832834620765,-4.9961715689591815
-2.326716622014983,-0.06941806984469505,-5.078706815512684
-2.422453190578408,-0.07384830764590476,-5.159464319167557
-2.5196749032794146,-0.07845138172638634,-5.23841597940057
-2.6183474310700134,-0.08322956236988044,-5.315534330020417
-2.718435939214751,-0.08818504961204775,-5.390792548609055
-2.8199050992999233,-0.09331997271077366,-5.464164465749484
-2.922719101412344,-0.0986363896421265,-5.535624574036722
-3.0268416664838975,-0.1041362866219768,-5.605148036868826
-3.1322360587978957,-0.10982157765337118,-5.672710697014749
-3.238865098653328,-0.11569410409958182,-5.738289084956097
-3.346691175182958,-0.12175563428290863,-5.801860426999689
-3.4556762593211565,-0.12800786310923673,-5.863402653158078
-3.565781916917397,-0.13445241171830952,-5.922894404795137
-3.6769693219911215,-0.1410908271597436,-5.980315042033969
-3.789199270123801,-0.14792458209470447,-6.035644650924394
-3.9024321919838623,-0.1549550745233087,-6.088864050367415
-4.016628166980074,-0.16218362753761767,-6.139954798794095
-4.131746937039072,-0.16961148910026436,-6.188899200596335
-4.247747920502464,-0.1772398318485847,-6.2356803123072115
-4.36459022613907,-0.18506975292424585,-6.28028194852846
-4.482232667267726,-0.19310227382831574,-6.322688687602932
-4.600633775986021,-0.20133834030163766,-6.362885877029811
-4.719751817500359,-0.20977882223050356,-6.400859638620499
-4.839544804552618,-0.2184245135774972,-6.436596873393226
-4.9599705119387005,-0.22727613233741273,-6.4700852662043475
-5.080986491114169,-0.23633432051813558,-6.501313290114615
-5.202550084882206,-0.24559964414646734,-6.530270210488571
-5.324618442158986,-0.2550725932986117,-6.556946088825449
-5.447148532811608,-0.2647535821554049,-6.581331786319982
-5.570097162563684,-0.2746429490819582,-6.603418967151624
-5.693420987963573,-0.2847409567317571,-6.623200101500779
-5.8170765314103425,-0.2950477921749111,-6.640668468290719
-5.941020196232397,-0.30556356705058346,-6.655818157653969
-6.0652082818137485,-0.3162883177432706,-6.6686440731220165
-6.189596998762854,-0.32722200558292674,-6.679141933537312
-6.314142484118939,-0.33836451706864135,-6.68730827468658
-6.438800816590684,-0.3497156641157477,-6.6931404506546155
-6.563528031822105,-0.3612751843262855,-6.696636634897769
-6.688280137680552,-0.37304274128239234,-6.697795821036463
-6.813013129561553,-0.38501792486270053,-6.6966178233661635
-6.937683005705374,-0.39720025158137023,-6.693103277086299
-7.062245782520082,-0.40958916494960285,-6.687253638246766
-7.186657509905873,-0.4221840358595035,-6.679071183411725
-7.310874286575444,-0.43498416298994913,-6.6685590090404645
-7.4348522753651745,-0.44798877323435193,-6.655721030585256
-7.558547718531892,-0.4611970221500258,-6.640561981306207
-7.681916953029915,-0.4746079944290415,-6.623087410803166
-7.804916425763188,-0.48822070439012766,-6.603303683264929
-7.927502708807173,-0.5020340964916614,-6.581217975435987
-8.049632514595354,-0.5160470458653001,-6.556838274301225
-8.171262711064962,-0.5302583588700099,-6.530173374489048
-8.292350336756797,-0.544666773666426,-6.501232875393555
-8.412852615863816,-0.5592709608110435,-6.47002717801639
-8.532726973223289,-0.5740695238702324,-6.436567481529096
-8.65193104924729,-0.5890610000535588,-6.400865779556819
-8.770422714786315,-0.6042438608663417,-6.362934856184381
-8.888160085920797,-0.6196165127811187,-6.322788281685769
-9.005101538675351,-0.6351772979276844,-6.280440407978192
-9.121205723650595,-0.650924494801498,-6.235906363802078
-9.236431580567361,-0.6668563189901775,-6.189202049628275
-9.350738352718162,-0.6829709239176885,-6.140344132293958
-9.464085601320875,-0.6992664016060889,-6.089350039368885
-9.576433219769454,-0.7157407834544887,-6.03623795325354
-9.687741447776723,-0.732392041034801,-5.981026805011048
-9.797970885404112,-0.7492180869041694,-5.92373626793461
-9.90708250697345,-0.7662167754336854,-5.864386750852549
-10.01503767485576,-0.783385903653077,-5.802999391172867
-10.12179815313216,-0.800723212111103,-5.73959604766959
-10.227326121122,-0.818226385751222,-5.674199293013075
-10.331584186773314,-0.8358930548024985,-5.606832406046615
-10.434535399910866,-0.8537207956850725,-5.537519363811819
-10.53614326533688,-0.8717071319301366,-5.466284833325266
-10.636371755779864,-0.8898495351139931,-5.39315416310902
-10.735185324686745,-0.908145425805887,-5.318153374477772
-10.832548918853695,-0.9265921745293332,-5.241309152585382
-10.928427990891128,-0.9451871027364217,-5.162648837233677
-11.022788511518167,-0.9639274837951417,-5.08220041344657
-11.1155969816823,-0.9828105439889224,-4.999992501812493
-11.206820444499618,-1.0018334635285113,-4.91605434859832
-11.296426497011359,-1.02099337757548,-4.830415815638046
-11.384383301752404,-1.0402873772772532,-4.743107369999551
-11.470659598127469,-1.059712510813327,-4.6541600734328075
-11.55522471359079,-1.0792657844520614,-4.5636055716031105
-11.638048574625207,-1.0989441636180934,-4.47147608311288
-11.719101717516482,-1.118744573969801,-4.377804388315634
-11.798355298918972,-1.1386639024863732,-4.282623817926025
-11.875781106208642,-1.1586989985645226,-4.185968241429586
-11.951351567619554,-1.1788466751240252,-4.08787205529624
-12.025039762160064,-1.1991037097220592,-3.9883701710014448
-12.096819429305024,-1.2194668456759281,-3.887498002859078
-12.166664978460265,-1.2399327931938158,-3.7852914556702135
-12.234551498195879,-1.2604982305130363,-3.6817869121918805
-12.30045476524479,-1.281159805045809,-3.5770212204302467
-12.36435125326308,-1.30191413453186,-3.4710316807624086
-12.426218141348985,-1.3227578081976223,-3.3638560328912916
-12.486033322317008,-1.3436873879218485,-3.2555324426381156
-12.54377541072425,-1.364699409406879,-3.146099488576972
-12.599423750645688,-1.385790383355792,-3.0355961485161
-12.652958423195512,-1.4069567966543544,-2.924061785830574
-12.704360253791519,-1.4281951135582445,-2.8115361356510915
-12.753610819159888,-1.4495017768844307,-2.6980592909136916
-12.800692454077375,-1.4708732092068932,-2.5836716882752127
-12.845588257848549,-1.4923058140561736,-2.4684140938994164
-12.888282100515331,-1.5137959771221694,-2.352327589118764
-12.928758628796436,-1.5353400674601958,-2.2354535559767728
-12.967003271754384,-1.5569344386998158,-2.117833662656127
-13.003002246187803,-1.5785754302559405,-1.9995098487975616
-13.036742561746827,-1.6002593685420659,-1.8805243107147072
