x,y,z
-0.16257304068215614,-0.001239042325130557,-1.464330379323938
-0.16532887539804295,-0.0012705642760847727,-1.4765343558074946
-0.16810755218711954,-0.00130261236787657,-1.4887331479326371
-0.17090906089161007,-0.0013351908307248635,-1.5009267129698256
-0.1737333912742768,-0.001368303891406877,-1.5131150082093427
-0.17658053301845963,-0.0014019557732453086,-1.5252979909614408
-0.1794504757281111,-0.0014361506960936512,-1.5374756185564853
-0.18234320892783798,-0.0014708928763230947,-1.5496478483450968
-0.1852587220629402,-0.0015061865268093404,-1.5618146376982993
-0.18819700449944735,-0.0015420358569182197,-1.5739759440076586
-0.19115804552416232,-0.0015784450724920594,-1.5861317246854316
-0.19414183434469628,-0.00161541837583706,-1.598281937164707
-0.19714836008951217,-0.001652959965707908,-1.6104265388995485
-0.20017761180796334,-0.0016910740372965216,-1.6225654873651405
-0.20322957847033474,-0.0017297647822164623,-1.6346987400579311
-0.2063042489678827,-0.001769036388490758,-1.6468262544957732
-0.20940161211287672,-0.001808893040537604,-1.6589479882180718
-0.2125216566386415,-0.0018493389191572924,-1.6710638987859245
-0.21566437119959608,-0.0018903782015192397,-1.6831739437822657
-0.2188297443712978,-0.0019320150611469246,-1.6952780808120114
-0.22201776465048306,-0.001974253667905658,-1.707376267502197
-0.22522842045511016,-0.0020170981879900104,-1.7194684615021283
-0.22846170012440228,-0.0020605527839088495,-1.731554620483518
-0.23171759191888838,-0.0021046216144718624,-1.7436347021406307
-0.23499608402044891,-0.0021493088347773687,-1.755708664190427
-0.23829716453235725,-0.0021946185961990083,-1.7677764643727039
-0.24162082147932423,-0.00224055504637155,-1.7798380604502402
-0.24496704280754047,-0.0022871223291781513,-1.791893410208937
-0.2483358163847232,-0.0023343245847358045,-1.8039424714579606
-0.25172713000015684,-0.00238216594938455,-1.815985202029885
-0.2551409713647408,-0.0024306505556721853,-1.8280215597808351
-0.2585773281110341,-0.002479782532342214,-1.8400515025906283
-0.2620361877932976,-0.0025295660043192984,-1.8520749883629168
-0.265517537887543,-0.0025800050926975617,-1.8640919750253298
-0.2690213657915758,-0.0026311039147265845,-1.8761024205296146
-0.2725476588250433,-0.002682866583798324,-1.8881062828517812
-0.2760964042294779,-0.0027352972094344696,-1.9001035199922416
