x,y,z
0.11443755101404506,0.12148875797802398,-0.022332750343745156
0.5841133828972079,0.02321829689925648,1.167361602987188
0.6713595225681249,0.0396219081135255,-0.2175486959461823
0.49957628142346144,0.052763610225258537,-1.5936215469500778
0.07767651908922002,0.058164669150523096,-2.913547895417252
-0.5770028056750507,0.05171410686529141,-4.133196156777665
-1.439598897151393,0.029792091600300746,-5.213024462734789
-2.478841714874476,-0.010628866627537564,-6.119271731833471
-3.65834260327543,-0.07190692081446487,-6.824897734860733
-4.9379996836373605,-0.1556791623773138,-7.310252846276532
-6.275465818705937,-0.26283534405991804,-7.5634687029717025
-7.627626006935746,-0.3935164014080961,-7.5805711547208645
-8.952033900709015,-0.5471363862748999,-7.365326349505836
-10.208261547493425,-0.7224257920228551,-6.9288392632068385
-11.359122160346384,-0.9174937307078964,-6.288931225076415
-12.371732441671131,-1.1299060233800022,-5.469328836959683
-13.218388403576983,-1.3567759871005578,-4.498701027372881
-13.877236438732645,-1.5948645437627702,-3.4095837756177017
-14.332729295409903,-1.8406862302635214,-2.2372332998041022
-14.575864317280725,-2.090617748101733,-1.0184482940562203
-14.604208568835569,-2.341005841887074,0.2095997600287579
-14.421722063197729,-2.588271527692683,1.4104919391847925
-14.038396063778485,-2.829007989748248,2.549610380221223
-13.469728212019044,-3.060069813187186,3.595082007144548
-12.736059953194255,-3.2786516069350764,4.518594708752234
-11.861804348501034,-3.48235448025889,5.296068711005846
-10.87459387449715,-3.6692392556652043,5.908171555678681
-9.804378259210988,-3.8378657174919573,6.340670709542509
-8.682501860579086,-3.9873175987486134,6.584623203747425
-7.540788658068406,-4.117213389063306,6.636406682448861
-6.410660725030749,-4.227703396115407,6.49760069241287
-5.322313215484859,-4.3194538054076395,6.1747308705460515
-4.303965581491347,-4.393618754019679,5.678891814078752
-3.3812050856911364,-4.451801659993746,5.025266808802249
-2.5764348346659314,-4.496007228605585,4.232564233371323
-1.9084346714890505,-4.528585689684088,3.3223913675202956
-1.392039457177775,-4.552170907264908,2.3185865474182554
-1.0379356525729266,-4.569614046136352,1.2465301899237105
-0.8525737787998515,-4.5839144820605116,0.13245422206654056
-0.8381913613257871,-4.598149607121254,-0.9972320133391479
-0.9929385572580159,-4.615405116541706,-2.1165831681052634
-1.3110987399738123,-4.638707112022645,-3.200712959072936
-1.783379002710525,-4.670956248529794,-4.226332871844168
-2.3972644440796413,-4.714867216281525,-5.172227021796672
-3.1374362382710306,-4.772915696202464,-6.019655460310819
-3.9862338770000463,-4.8472928364434145,-6.7526805035829005
-4.924148283163765,-4.939868144908719,-7.3584126557247425
-5.930332633924639,-5.052161148141499,-7.827174891712107
-6.983118085834154,-5.1853219016859935,-8.15258604205127
-8.06052223534614,-5.340120210877909,-8.331565852019358
-9.140739029794592,-5.516943218684755,-8.364265952790449
-10.20259993387937,-5.715800842351825,-8.253932452144658
-11.225997419351222,-5.936338395643068,-8.00670710641486
-12.192263243252082,-6.1778556196971515,-7.631375055986167
-13.084495473761764,-6.4393312631750135,-7.139067882864268
-13.887829772938323,-6.719452300722147,-6.542931275233315
-14.589652013273572,-7.016646856228802,-5.857766861029855
-15.179750852075328,-7.329119901667392,-5.099657806576141
-15.650410378342114,-7.654890830580282,-4.285587578913212
-15.99644434797148,-7.991832054342275,-3.4330608583904882
-16.21520694374172,-8.337648049768628,-2.559728456277115
-16.306845214621557,-8.68932777614933,-1.6829660497603598
-16.27411161393897,-9.043389162169007,-0.8194755765598077
-16.122010036271384,-9.39630988349505,0.015022852676889964
-15.857575068719472,-9.744620280706966,0.806033060935545
-15.489631628889262,-10.084991518579434,1.5404787751852407
-15.02854073730696,-10.414319400765368,2.206855672723758
-14.485937907252925,-10.729800751325346,2.7953419966815476
-13.874469673748795,-11.02899946253599,3.2978708932477394
-13.207532887895786,-11.3098996159578,3.708167978285615
-12.499020607018918,-11.570943519801533,4.021757736057922
-11.763077737798609,-11.811053051732015,4.2359422470582215
-11.013869044669857,-12.029633323457185,4.3497554975151544
-10.265361711925523,-12.226558354249333,4.363896200565111
-9.531124328436483,-12.402139111943114,4.280641713886779
-8.824143925987169,-12.557074907485653,4.103745318461791
-8.156662519972695,-12.692389671152881,3.8383188660026386
-7.5400344472476455,-12.809355060394138,3.4907026354102033
-6.984605642422788,-12.909402626446786,3.0683241767972635
-6.4996158128013715,-12.99402738733798,2.5795479691081833
-6.093124234923025,-13.064685120105754,2.0335178673526335
-5.7719595730345645,-13.12268551001721,1.439994551482361
-5.541693681328074,-13.16908300733916,0.8091904864436441
-5.406638765919758,-13.204566883714241,0.15160523128518766
-5.369866516912268,-13.229351604662742,-0.5221357401693159
-5.433246843343681,-13.243068311980778,-1.201435259802884
-5.5975026248027175,-13.244658029731584,-1.8758680700805805
-5.86227541091943,-13.23226728721966,-2.535310055103981
-6.2261952490265395,-13.203147345434212,-3.1700493748208554
-6.686945831769084,-13.153559319767757,-3.7708759752325554
-7.241314028529089,-13.078689462462073,-4.329146324287935
-7.885210814730397,-12.972581996080123,-4.8368208001266755
-8.613649054572974,-12.828101466392376,-5.286471957941299
-9.42066323244638,-12.63694279484695,-5.671262956099806
-10.299158163457768,-12.38971492565177,-5.984896780013306
-11.240679462596056,-12.076132374581498,-6.221538633642205
-12.235109888876375,-11.685356105510202,-6.375716062280359
-13.270314065587026,-11.206527255278372,-6.442204114932953
-14.331779459046667,-10.629528568162572,-6.4159061934920585
